Date,Open,High,Low,Close,Volume
2022-9-1,272.58,277.58,266.15,277.16,"54,287,024"
2022-9-2,281.07,282.35,269.08,270.21,"50,890,090"
2022-9-6,272.68,275.99,265.74,274.42,"55,859,984"
2022-9-7,273.1,283.84,272.27,283.7,"50,028,916"
2022-9-8,281.3,289.5,279.76,289.26,"53,713,124"
2022-9-9,291.67,299.85,291.25,299.68,"54,470,854"
2022-9-12,300.72,305.49,300.4,304.42,"48,674,604"
2022-9-13,292.9,297.4,290.4,292.13,"68,229,619"
2022-9-14,292.24,306,291.64,302.61,"72,628,653"
2022-9-15,301.83,309.12,300.72,303.75,"64,795,523"
2022-9-16,299.61,303.71,295.6,303.35,"87,087,786"
2022-9-19,300.09,309.84,297.8,309.07,"60,231,156"
2022-9-20,306.91,313.33,305.58,308.73,"61,642,783"
2022-9-21,308.29,313.8,300.63,300.8,"62,555,656"
2022-9-22,299.86,301.29,285.82,288.59,"70,545,413"
2022-9-23,283.09,284.5,272.82,275.33,"63,748,362"
2022-9-26,271.83,284.09,270.31,276.01,"58,076,913"
2022-9-27,283.84,288.67,277.51,282.94,"61,925,185"
2022-9-28,283.08,289,277.57,287.81,"54,664,809"
2022-9-29,282.76,283.65,265.78,268.21,"77,620,642"
2022-9-30,266.15,275.57,262.47,265.25,"67,726,598"
2022-10-3,254.5,255.16,241.01,242.4,"98,363,541"
2022-10-4,250.52,257.5,242.01,249.44,"109,578,535"
2022-10-5,245.01,246.67,233.27,240.81,"86,982,673"
2022-10-6,239.44,244.58,235.35,238.13,"69,298,437"
